,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Tax Rate,30.1%,15.7%,9.5%,8.9%,5.9%,7.4%,9.5%,7.5%,13.7%,,,2.4%,11.5%,7.0%,4.9%,5.8%,9.7%,4.6%,-2.2%
Current Ratio,1.42,1.90,4.38,4.49,4.13,4.82,4.55,6.05,7.12,,,,,,6.05,6.17,5.61,5.87,7.12
Quick Ratio,0.65,0.79,2.50,1.91,0.91,0.95,0.77,0.92,0.93,,,0.00,0.00,0.00,0.92,0.76,0.90,0.84,0.93
Days Inventory Outstanding,148.7,214.1,303.5,334.5,411.4,390.5,383.5,442.0,451.4,,,0.00,0.00,0.00,219.1,458.4,449.3,425.6,404.5
Days Sale Outstanding,110.5,100.9,93.1,71.1,73.4,66.5,56.3,40.6,32.8,,,,,,40.6,32.7,44.9,37.7,32.7
Days Payable Outstanding,105.7,104.7,103.3,107.6,111.7,88.9,73.5,59.4,44.4,,,0.00,0.00,0.00,21.1,47.5,52.1,46.5,39.7
Cash Conversion Cycle,106.6,212.0,266.7,297.0,362.0,379.3,377.8,449.3,452.3,,,0.00,0.00,0.00,197.4,445.1,437.1,429.3,401.8
Debt to Asset Ratio,0.62,0.59,0.20,0.19,0.20,0.18,0.18,0.14,0.12,,,,,,0.14,0.14,0.15,0.14,0.12
Debt to Equity Ratio,1.61,1.47,0.26,0.24,0.26,0.22,0.23,0.17,0.14,,,,,,0.17,0.16,0.18,0.17,0.14
Interest Coverage Ratio,,32.0,45.5,125.1,137.0,291.6,286.9,415.9,"3,938",,,134.5,432.5,751.7,820.0,"2,545","7,670","139,381",
Cash and Short Term Investments,138.2,157.7,"1,792","1,699",876.6,"1,277",971.4,"1,011","1,344",,,,,,"1,011","1,181","1,212","1,218","1,344"
"Total Receivables, Net",546.5,677.1,760.7,681.9,789.6,815.8,664.7,467.6,335.5,,,,,,467.6,371.6,496.9,398.6,335.5
Total Inventory,541.2,779.4,"1,363","1,536","2,316","1,989","2,216","2,179","1,604",,,,,,"2,179","2,156","1,929","1,786","1,604"
Total Current Assets,"1,229","1,630","3,953","3,952","4,028","4,115","3,915","3,716","3,337",,,,,,"3,716","3,811","3,703","3,479","3,337"
"Property/Plant/Equipment, Total - Net",153.6,231.9,340.2,447.6,445.2,422.1,491.6,470.1,417.1,,,,,,470.1,456.0,459.8,443.4,417.1
Total Assets,"1,451","2,013","4,652","4,857","5,100","5,196","5,082","4,870","4,290",,,,,,"4,870","4,970","4,844","4,600","4,290"
Accounts Payable,358.0,288.0,441.2,491.3,554.2,425.2,381.2,209.7,162.2,,,,,,209.7,239.2,234.9,170.6,162.2
Accrued Expenses,76.3,123.0,139.2,106.1,177.2,188.4,252.7,160.3,165.3,,,,,,160.3,175.4,224.7,170.6,165.3
Debt Due,263.2,250.0,129.2,182.1,183.6,164.2,94.8,16.0,0.061,,,0.00,0.00,,16.0,0.13,0.094,0.081,0.061
Total Current Liabilities,865.0,855.8,902.7,881.1,976.4,854.4,860.0,613.9,468.8,,,,,,613.9,617.6,660.6,592.1,468.8
Long Term Debt,0.00,300.0,3.85,3.46,0.33,0.35,0.11,0.061,,,,,,,0.061,0.041,0.021,,
Total Liabilities,894.2,"1,198",950.8,931.9,"1,024",910.2,914.1,671.3,529.3,,,,,,671.3,678.0,720.6,656.1,529.3
Common Stock,300.0,300.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,,,,,,400.0,400.0,400.0,400.0,400.0
Additional Paid-In Capital,,,"2,825","2,825","2,825","2,825","2,825","2,825","2,825",,,,,,"2,825","2,825","2,825","2,825","2,825"
Retained Earnings (Accumulated Deficit),256.6,515.7,388.7,596.3,734.5,938.5,802.1,831.1,549.9,,,,,,831.1,925.1,795.0,656.5,549.9
Shareholders' Equity,556.6,815.7,"3,614","3,819","3,957","4,161","4,024","4,053","3,685",,,,,,"4,053","4,146","3,971","3,792","3,685"
Cash from Operating Activities,169.6,-347.4,281.6,651.5,14.5,"1,199",710.7,588.0,"1,090",,,-13.8,201.2,139.8,260.8,199.4,446.1,321.0,123.3
Cash from Investing Activities,-186.3,-293.4,"-1,676",-306.2,934.6,-545.3,184.1,97.8,-64.1,,,162.2,215.1,-219.9,-59.6,-64.3,150.1,-148.8,-1.06
Cash from Financing Activities,8.79,903.0,"1,509",-458.0,-607.3,-662.6,-828.7,-701.5,-703.2,,,-359.0,-18.3,-35.8,-288.4,-17.5,-367.5,-318.1,-0.14
Net Change in Cash,-7.97,262.2,114.1,-112.7,341.8,-8.87,66.2,-15.7,322.5,,,-210.5,398.0,-115.9,-87.2,117.6,228.7,-145.9,122.1
Free Cashflows,96.9,-468.9,123.8,412.2,-135.9,"1,074",502.7,389.7,"1,035",,,-160.4,183.2,128.8,238.2,187.3,417.5,311.4,119.1
Free Cashflow per Share,0.12,-0.59,0.15,0.52,-0.17,1.34,0.63,0.49,1.31,,,,,,0.30,0.23,0.52,0.39,0.15
