,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-4,2017-7,2017-10,2018-1,2018-4,2018-7,2018-10,2019-1,2019-4,2019-7,2019-10
"Cost of Revenue, Total",,,"3,377","3,450","3,138","2,505","2,271","2,269","2,566",,518.7,514.0,655.3,580.6,552.5,595.5,749.5,668.8,603.4,587.5,564.6
Gross Profit,,,"1,074",758.1,715.0,653.6,644.8,644.3,633.0,,146.6,156.7,157.1,183.9,158.5,159.2,163.1,152.3,149.4,137.9,130.8
"Selling/General/Administrative Expenses, Total",,,838.2,484.7,614.8,518.8,520.2,496.8,564.8,,112.4,131.4,125.7,127.3,134.4,146.4,136.3,147.7,136.4,136.9,130.3
Operating Income,,,374.8,361.0,164.2,170.5,186.6,198.8,143.5,,45.3,37.2,42.5,73.8,41.6,32.7,45.1,24.0,32.4,21.1,20.1
Net Income,,,227.6,132.4,14.3,112.0,164.0,97.1,54.1,,25.3,35.2,4.76,31.8,7.92,0.99,26.6,18.5,6.53,8.95,16.2
EBITDA,,,374.8,658.0,164.2,459.6,505.4,496.3,444.7,,123.4,107.2,118.9,146.9,114.5,107.8,122.6,102.2,107.2,92.7,89.5
Gross Profit Margin,,,24.1%,18.0%,18.6%,20.7%,22.1%,22.1%,19.8%,,22.0%,23.4%,19.3%,24.1%,22.3%,21.1%,17.9%,18.5%,19.8%,19.0%,18.8%
Operating Margin,,,8.4%,8.6%,4.3%,5.4%,6.4%,6.8%,4.5%,,6.8%,5.5%,5.2%,9.7%,5.9%,4.3%,4.9%,2.9%,4.3%,2.9%,2.9%
Net Profit Margin,,,5.1%,3.1%,0.4%,3.5%,5.6%,3.3%,1.7%,,3.8%,5.2%,0.6%,4.2%,1.1%,0.1%,2.9%,2.3%,0.9%,1.2%,2.3%
Return on Assets,,,4.2%,2.5%,0.3%,2.5%,3.7%,2.2%,1.2%,,4.1%,3.9%,2.3%,2.2%,1.8%,1.1%,1.6%,1.3%,1.2%,1.5%,1.3%
Return on Equity,,,91.6%,49.6%,23.4%,7.6%,11.4%,5.6%,3.1%,,1.8%,2.6%,0.3%,1.8%,0.5%,0.1%,1.4%,1.1%,0.4%,0.5%,1.0%
Return on Total Capital,,,22.7%,12.2%,1.6%,5.1%,7.3%,4.2%,2.4%,,8.2%,7.9%,4.2%,4.2%,3.5%,2.0%,2.9%,2.4%,2.4%,2.9%,2.5%
SG&A to Sale,,,18.8%,11.5%,16.0%,16.4%,17.8%,17.1%,17.7%,,16.9%,19.6%,15.5%,16.7%,18.9%,19.4%,14.9%,18.0%,18.1%,18.9%,18.7%
Depreciation & Amortisation,,,,297.0,,289.1,318.8,297.5,301.2,,78.1,70.0,76.4,73.1,72.9,75.1,77.5,78.2,74.7,71.7,69.4
Tax Rate,,,10.3%,21.0%,-74.1%,17.4%,-9.1%,-3.1%,23.3%,,-23.3%,-85.8%,52.9%,22.2%,33.1%,56.7%,21.4%,-11.6%,55.3%,33.4%,99.5%
Current Ratio,,,1.43,1.53,0.61,0.95,1.05,1.09,1.16,,1.00,0.99,1.21,1.09,1.16,1.15,1.20,1.16,1.19,1.17,1.16
Quick Ratio,,,1.08,1.34,0.26,0.45,0.54,0.57,0.61,,0.48,0.53,0.63,0.57,0.58,0.56,0.62,0.61,0.59,0.56,0.54
Days Inventory Outstanding,,,30.5,25.7,26.2,34.6,37.2,40.9,38.9,,39.0,40.2,39.9,42.1,43.6,42.4,40.3,38.8,39.1,39.8,41.4
Days Sale Outstanding,,,145.4,139.2,65.0,64.2,87.4,82.9,70.0,,79.4,81.3,82.6,82.9,75.0,73.6,71.9,70.0,66.4,62.2,61.9
Days Payable Outstanding,,,126.3,84.2,24.6,22.9,48.6,48.0,42.3,,47.4,47.9,43.7,45.2,42.7,36.3,35.5,37.8,39.7,37.1,36.2
Cash Conversion Cycle,,,49.6,127.4,134.7,60.5,69.1,76.9,70.5,,76.6,72.5,79.7,75.6,84.9,78.8,76.3,67.9,67.8,69.3,71.1
Debt to Asset Ratio,,,0.95,0.95,0.79,0.47,0.50,0.43,0.39,,0.49,0.48,0.41,0.43,0.40,0.41,0.38,0.39,0.39,0.38,0.38
Debt to Equity Ratio,,,20.6,18.5,58.2,1.41,1.56,1.11,0.95,,1.52,1.49,1.04,1.11,1.00,1.03,0.90,0.95,0.92,0.91,0.87
Interest Coverage Ratio,,,,,2.44,2.25,2.52,2.72,2.36,,2.41,1.88,2.59,4.12,2.56,2.12,2.88,1.80,2.70,1.73,1.67
Cash and Short Term Investments,,,479.8,312.5,525.7,381.5,418.5,288.2,230.1,,418.9,234.7,316.3,288.2,273.9,266.1,237.6,230.1,262.3,236.4,245.4
"Total Receivables, Net",,,"1,773","1,605",685.7,555.9,698.1,661.7,613.7,,618.2,629.8,657.6,661.7,608.1,613.7,619.3,613.7,589.2,547.7,507.5
Total Inventory,,,282.3,202.8,247.5,227.6,236.0,272.2,274.6,,236.6,244.8,251.7,272.2,277.3,276.3,270.6,274.6,285.6,282.8,266.6
Total Current Assets,,,"2,634","2,180","1,596","1,174","1,362","1,259","1,174",,"1,292","1,169","1,274","1,259","1,222","1,260","1,211","1,174","1,191","1,142","1,084"
"Property/Plant/Equipment, Total - Net",,,"2,417","2,722","2,531","2,901","2,781","2,735","2,648",,"2,750","2,655","2,655","2,735","2,641","2,618","2,710","2,648","2,612","2,513","2,434"
Total Assets,,,"5,359","5,208","4,493","4,397","4,525","4,481","4,242",,"4,412","4,228","4,342","4,481","4,297","4,326","4,360","4,242","4,231","4,068","3,906"
Accounts Payable,,,"1,169",423.3,,314.9,290.2,305.9,289.5,,284.1,288.9,255.6,305.9,233.1,241.0,241.5,289.5,279.7,250.9,229.7
Accrued Expenses,,,,39.6,,67.7,51.9,29.0,21.2,,49.3,40.7,42.1,29.0,36.3,25.4,36.1,21.2,34.1,33.8,30.3
Debt Due,,,661.1,536.8,584.9,580.9,686.5,654.8,504.6,,691.3,680.4,600.5,654.8,562.4,592.3,560.4,504.6,517.2,560.6,560.3
Total Current Liabilities,,,"1,845","1,426","2,623","1,237","1,302","1,156","1,015",,"1,295","1,185","1,051","1,156","1,051","1,097","1,005","1,015",997.6,977.2,935.5
Long Term Debt,,,753.1,821.9,831.2,708.7,817.7,584.9,458.5,,771.1,743.3,618.5,584.9,546.4,531.8,470.1,458.5,425.2,376.6,328.7
Total Liabilities,,,"5,110","4,941","3,569","2,075","2,260","1,936","1,674",,"2,175","2,050","1,799","1,936","1,740","1,778","1,658","1,674","1,634","1,566","1,474"
Common Stock,,,0.00,0.00,2.00,"1,185","1,185","1,447","1,447",,"1,185","1,185","1,447","1,447","1,447","1,447","1,447","1,447","1,447","1,447","1,447"
Additional Paid-In Capital,,,,,,,,80.7,80.7,,,,80.8,80.7,80.8,80.8,80.8,80.7,80.8,80.8,80.8
Retained Earnings (Accumulated Deficit),,,0.00,0.00,14.4,104.7,213.9,195.2,193.2,,206.4,189.6,199.2,195.2,209.0,177.4,208.4,193.2,205.9,184.8,207.8
Shareholders' Equity,,,248.5,267.0,61.3,"1,470","1,444","1,740","1,758",,"1,433","1,378","1,733","1,740","1,746","1,731","1,842","1,758","1,781","1,713","1,700"
Cash from Operating Activities,,,,705.9,,491.7,358.6,214.9,362.0,,120.3,-5.29,7.20,92.6,151.0,-5.10,65.3,150.7,90.0,45.0,99.0
Cash from Investing Activities,,,,-404.0,,-163.0,-415.8,-218.9,-49.6,,-67.6,-17.3,-43.4,-90.4,-26.3,37.8,-12.2,-48.9,-23.7,-18.9,-31.4
Cash from Financing Activities,,,,-248.7,,-166.5,127.1,-140.1,-355.3,,-53.5,-148.5,114.6,-52.8,-142.7,-44.8,-74.1,-93.6,-40.3,-49.1,-46.5
Net Change in Cash,,,,53.2,,95.5,46.2,-127.8,-56.1,,-2.99,-180.9,86.4,-30.2,-16.8,-6.27,-29.1,-3.86,27.8,-30.3,11.7
Free Cashflows,,,,72.6,,84.9,-169.3,88.6,272.9,,55.7,-22.6,-26.7,82.1,126.3,-10.8,57.3,100.1,64.8,22.0,66.2
Free Cashflow per Share,,,,0.050,,0.059,-0.12,0.061,0.19,,0.039,-0.016,-0.018,0.057,0.087,-0.007,0.040,0.069,0.045,0.015,0.046
