,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Tax Rate,31.3%,16.7%,16.4%,15.4%,10.4%,27.7%,-1.1%,26.5%,24.4%,,5.8%,,-12.4%,7.4%,20.0%,39.7%,14.4%,15.7%,-2.4%
Current Ratio,0.100,0.15,0.79,0.19,0.24,0.11,0.80,3.24,1.70,,0.27,,,,,3.24,2.10,3.81,7.15
Quick Ratio,0.035,0.030,0.022,0.023,0.015,0.030,0.25,0.055,0.022,,0.064,,0.00,0.00,0.00,0.055,0.11,0.19,0.18
Days Inventory Outstanding,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Days Sale Outstanding,17.1,7.36,5.13,5.20,6.97,44.7,199.1,14.7,9.04,,48.2,,,,,14.7,9.04,10.8,10.2
Days Payable Outstanding,66.9,39.8,57.0,49.8,49.6,186.0,90.2,54.9,78.1,,0.00,,0.00,0.00,0.00,52.9,49.3,3.74,2.05
Cash Conversion Cycle,-64.8,-15.6,-32.6,-13.4,-19.1,-101.1,112.2,15.3,-25.1,,75.7,,0.00,0.00,0.00,-67.7,58.9,54.2,57.7
Debt to Asset Ratio,0.62,0.60,0.67,0.63,0.68,0.68,0.39,0.50,0.70,,0.39,,,,,0.50,0.41,0.46,0.54
Debt to Equity Ratio,1.66,1.50,2.04,1.72,2.10,2.16,0.64,1.08,2.37,,0.64,,,,,1.08,0.69,0.84,1.20
Interest Coverage Ratio,3.61,5.67,4.70,2.69,1.89,1.00,1.56,4.55,3.96,,1.69,,2.02,3.13,1.36,9.98,8.35,1.35,3.12
Cash and Short Term Investments,136.8,362.7,349.5,326.8,"1,134",284.3,"1,518","6,951","4,495",,688.4,,,,,"6,951","6,602","6,198","17,702"
"Total Receivables, Net",106.9,119.2,90.7,87.1,95.0,246.7,"1,213",558.7,477.8,,306.3,,,,,558.7,393.8,452.9,456.0
Total Inventory,,,,,,,,,,,,,,,,,,,
Total Current Assets,305.8,608.0,"3,310",727.1,"1,542",912.3,"3,904","33,079","37,188",,"1,301",,,,,"33,079","7,566","9,282","18,410"
"Property/Plant/Equipment, Total - Net","6,912","6,749","4,630","8,328","9,952","13,788","15,071","38,180","38,316",,"14,844",,,,,"38,180","14,524","16,296","16,787"
Total Assets,"15,289","19,736","26,451","31,209","36,287","36,093","40,982","82,650","92,390",,"40,478",,,,,"82,650","43,262","47,127","56,982"
Accounts Payable,249.4,450.1,554.1,405.1,345.2,224.4,93.6,"2,527","2,900",,,,,,,"2,527",135.6,58.3,52.6
Accrued Expenses,80.0,158.9,208.3,255.6,261.1,264.9,238.2,912.0,"1,364",,0.47,,,,,912.0,,,2.25
Debt Due,"2,695","3,095","3,233","2,886","5,661","7,656","4,102","5,389","16,193",,"4,102",,0.00,,,"5,389","2,347","1,747","1,921"
Total Current Liabilities,"3,068","3,946","4,176","3,809","6,479","8,291","4,896","10,220","21,814",,"4,765",,,,,"10,220","3,611","2,435","2,575"
Long Term Debt,"6,061","7,505","12,446","14,343","16,342","14,592","9,220","21,726","33,835",,"9,221",,,,,"21,726","12,174","17,110","26,510"
Total Liabilities,"9,549","11,839","17,764","19,743","24,598","24,675","16,048","41,253","64,519",,"15,774",,,,,"41,253","17,690","21,462","31,043"
Common Stock,781.0,877.5,912.4,"1,099","1,099","1,099","1,834","1,834","2,017",,"1,834",,,,,"1,834","1,834","1,834","1,834"
Additional Paid-In Capital,"3,510","4,378","4,669","7,343","7,343","7,343","19,838","19,838","22,915",,"19,838",,,,,"19,838","19,838","19,838","19,838"
Retained Earnings (Accumulated Deficit),"1,468","2,609","3,110","2,958","3,179","2,902","3,243","3,717","5,003",,"3,000",,,,,"3,717","3,901","3,977","4,251"
Shareholders' Equity,"5,740","7,897","8,688","11,464","11,687","11,412","24,926","38,288","27,184",,"24,696",,,,,"38,288","25,554","25,623","25,880"
Cash from Operating Activities,"1,222","4,495","5,066","4,098","3,247",87.1,"1,522","-2,975","-3,963",,387.8,,332.0,573.5,811.0,"-4,692","2,025",224.0,"1,093"
Cash from Investing Activities,"-3,220","-7,194","-9,852","-8,016","-6,672",-626.2,"-3,818","3,298","-22,038",,858.0,,619.6,"-1,797",-649.3,"5,125",-787.9,"-4,329",947.9
Cash from Financing Activities,"2,301","2,708","4,437","3,494","4,230",-308.8,"3,530","5,214","23,544",,"-2,920",,-121.8,"4,071","-1,513","2,778",-567.4,"3,700","9,463"
Net Change in Cash,304.9,4.71,-332.7,-424.3,799.3,-849.6,"1,234","5,537","-2,456",,"-1,679",,829.7,"2,848","-1,351","3,211",669.5,-404.9,"11,505"
Free Cashflows,"1,202","4,436","5,044","4,080","3,234",75.6,"1,522","-2,976","-3,963",,387.8,,330.7,574.9,811.0,"-4,693","2,024",224.7,"1,093"
Free Cashflow per Share,1.54,5.05,5.53,3.71,2.94,0.069,0.83,-1.62,-1.96,,0.21,,,,,-2.56,1.10,0.12,0.60
