,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6
Days Sale Outstanding,6.14,3.38,58.6,64.4,27.5,22.1,7.99,37.4,,,22.0,11.5,7.99,7.65,66.7,55.9,37.4,29.9,65.9
Days Payable Outstanding,53.8,43.9,282.7,367.6,182.8,177.2,123.4,139.2,,,148.2,122.4,129.5,171.7,109.0,98.7,112.8,136.1,400.9
Cash Conversion Cycle,220.0,304.0,355.9,"1,913","1,281","1,291",657.4,582.1,,,656.5,488.3,498.4,711.5,478.7,488.7,509.5,558.0,"1,649"
Debt to Asset Ratio,0.80,0.78,0.75,0.92,0.92,0.95,0.93,0.94,,,0.81,0.84,0.93,0.93,0.90,0.93,0.94,0.95,0.99
Debt to Equity Ratio,3.91,3.45,2.34,8.01,11.2,17.8,13.4,16.1,,,4.38,5.15,13.4,13.2,9.29,14.1,16.1,19.4,81.6
Interest Coverage Ratio,1.01,1.84,,,,,,,,,,,,,3.17,,,,
Cash and Short Term Investments,278.6,134.6,"1,039",943.4,720.0,737.2,"1,212","1,285",,,"2,193","1,421","1,212",875.3,"2,558","1,215","1,285","1,228",457.3
"Total Receivables, Net",18.4,10.1,55.4,133.2,263.9,331.5,202.9,903.1,,,441.0,271.5,202.9,162.0,"1,967","1,489",903.1,693.8,603.3
Total Inventory,945.9,307.2,422.8,"5,811","8,531","14,169","12,563","9,753",,,"9,557","8,862","12,563","12,388","9,347","9,307","9,753","10,207","10,330"
Total Current Assets,"1,251",465.8,"1,537","7,418","10,082","15,733","14,342","12,719",,,"12,814","10,976","14,342","13,759","14,123","12,337","12,719","12,782","12,043"
"Property/Plant/Equipment, Total - Net",692.2,"1,056","3,959","4,920","6,150","7,993","3,515","3,616",,,"3,205","3,538","3,515","3,438","3,515","3,521","3,616","3,585","3,408"
Total Assets,"3,727","3,972","8,577","19,417","25,932","31,831","32,423","21,612",,,"37,026","36,201","32,423","28,045","23,653","21,693","21,612","21,507","21,074"
Accounts Payable,68.3,89.7,201.7,737.4,"1,042","1,660","2,490","2,050",,,"1,937","1,865","2,490","2,421","1,969","1,629","2,050","2,075","2,089"
Accrued Expenses,7.06,19.6,12.1,176.1,217.2,487.5,697.3,376.0,,,660.8,707.4,697.3,647.8,823.8,560.1,376.0,436.7,403.9
Debt Due,298.7,582.6,570.2,"4,456","14,399","16,221","14,551","12,884",,,"15,450","15,548","14,551","13,176","10,714","9,874","12,884","12,737","12,858"
Total Current Liabilities,706.1,862.5,912.1,"7,794","18,787","21,895","19,959","18,877",,,"20,786","20,520","19,959","18,223","15,440","13,795","18,877","18,826","19,050"
Long Term Debt,"2,067","1,835","4,014","9,242","2,734","5,850","5,737",781.8,,,"4,529","4,788","5,737","3,208","2,863","3,363",781.8,957.0,"1,103"
Total Liabilities,"2,968","3,079","6,429","17,908","23,805","30,142","30,161","20,347",,,"30,128","30,299","30,161","26,050","21,355","20,261","20,347","20,451","20,819"
Common Stock,"1,454","1,454","2,054","2,054","3,262","3,758","3,758","12,039",,,"3,758","3,758","3,758","11,539","11,539","12,039","12,039","12,039","12,039"
Additional Paid-In Capital,,,"1,431","1,431","2,897","3,847","3,847",,,,"3,847","3,847","3,847",,,,,,
Retained Earnings (Accumulated Deficit),58.0,192.7,-673.9,"-1,053","-2,838","-5,164","-4,807","-9,955",,,-246.6,"-1,208","-4,807","-8,894","-8,678","-9,780","-9,955","-10,148","-10,874"
Shareholders' Equity,758.4,893.2,"2,750","2,234","2,128","1,689","2,247","1,265",,,"6,882","5,885","2,247","1,978","2,299","1,432","1,265","1,056",255.0
Cash from Operating Activities,401.3,477.3,-369.1,-854.1,"-3,767","-2,306","-1,399",218.1,,,-308.2,-409.4,-136.5,-381.2,,,-498.7,-475.4,-494.0
Cash from Investing Activities,-695.4,-472.8,-719.5,"-8,257","-1,184","-2,313","3,495","2,442",,,"4,779",-711.0,91.5,-167.3,,,154.1,241.1,-634.5
Cash from Financing Activities,522.1,-148.4,"1,993","8,548","5,177","4,660","-1,586","-2,579",,,"-7,518",348.4,-164.0,167.4,,,412.2,145.4,327.0
Net Change in Cash,228.1,-144.0,904.6,-562.8,226.6,41.4,509.9,75.7,,,"-3,063",-772.1,-209.1,-337.0,,,72.5,-56.9,-767.0
Free Cashflows,334.2,285.2,-986.7,"-2,323","-5,124","-4,230","-2,612",60.5,,,-644.1,-580.1,-156.6,-601.3,,,-372.4,-484.9,-506.0
Free Cashflow per Share,0.16,0.14,-0.48,-1.13,-1.57,-1.13,-0.70,0.005,,,-0.17,-0.15,-0.042,-0.052,,,-0.031,-0.040,-0.042
