,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Debt to Asset Ratio,0.003,0.007,0.007,0.004,0.005,0.014,0.15,0.15,,,,,,0.14,0.14,0.15,0.15
Debt to Equity Ratio,0.003,0.007,0.007,0.004,0.005,0.014,0.18,0.18,,,,,,0.16,0.17,0.17,0.18
Interest Coverage Ratio,,,,,,,12.8,9.79,,,,,,20.5,4.58,6.01,8.27
Cash and Short Term Investments,111.3,69.6,60.2,57.9,71.9,87.5,164.8,35.5,,,,,,167.1,,11.9,35.5
"Total Receivables, Net",98.1,92.7,92.6,96.4,,,,,,,,,,15.2,,,
Total Inventory,,,,,,,,,,,,,,,,,
Total Current Assets,209.3,162.3,152.9,157.2,72.9,88.5,165.9,37.0,,,,,,184.2,181.0,14.6,37.0
"Property/Plant/Equipment, Total - Net","4,027","4,115","4,140","4,143","4,148","4,069","4,173","4,340",,,,,,"4,200","4,232","4,286","4,340"
Total Assets,"4,353","4,390","4,393","4,389","4,297","4,237","4,344","4,382",,,,,,"4,390","4,418","4,314","4,382"
Accounts Payable,12.3,27.1,27.7,17.7,21.4,58.2,81.3,51.6,,,,,,27.6,41.1,39.2,51.6
Accrued Expenses,1.29,1.24,1.26,1.13,1.24,1.04,1.18,3.09,,,,,,4.33,3.44,2.66,3.09
Debt Due,,,,,,,5.93,25.7,,,,,,,,,25.7
Total Current Liabilities,13.7,28.6,29.0,18.9,22.7,59.4,88.8,80.4,,,,,,32.1,45.0,42.4,80.4
Long Term Debt,,,,,,,583.0,573.4,,,,,,588.9,586.9,584.9,573.4
Total Liabilities,13.7,28.6,29.0,18.9,22.7,59.4,671.7,653.9,,,,,,621.0,631.9,627.4,653.9
Common Stock,"4,094","4,094","4,094","4,094","4,094","4,094","3,656","3,656",,,,,,"3,656","3,656","3,656","3,656"
Additional Paid-In Capital,,,,,,,,,,,,,,,,,
Retained Earnings (Accumulated Deficit),245.1,267.5,269.8,275.6,180.2,84.0,16.5,72.1,,,,,,113.1,130.3,30.6,72.1
Shareholders' Equity,"4,339","4,362","4,364","4,370","4,274","4,178","3,673","3,728",,,,,,"3,769","3,786","3,687","3,728"
Cash from Operating Activities,"-3,832",292.0,283.3,298.9,288.3,204.0,"-5,073",6.56,,,,,,7.60,19.0,-34.9,14.8
Cash from Investing Activities,,,,,,,,,,,,,,,,,
Cash from Financing Activities,"3,944",-333.7,-292.7,-301.3,-274.3,-188.3,"7,050",-135.8,,,,,,-5.30,-7.38,-131.9,8.73
Net Change in Cash,111.3,-41.7,-9.37,-2.37,14.0,15.6,"1,977",-129.3,,,,,,2.30,11.6,-166.8,23.6
Free Cashflows,"-3,832",292.0,283.3,298.9,288.3,204.0,"-5,073",6.56,,,,,,7.60,19.0,-34.9,14.8
Free Cashflow per Share,-9.36,0.71,0.69,0.73,0.70,0.50,-12.4,0.016,,,,,,0.019,0.046,-0.085,0.036
