,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6
Net Income,104.3,169.1,251.7,16.0,35.6,"-1,179","-2,156",215.2,,,-211.3,"-1,545",-21.3,-124.7,-134.6,-95.0,,-108.5,174.9
EBITDA,517.2,604.5,636.3,384.8,219.4,-610.4,-302.4,-209.2,,,-102.9,-100.5,8.30,4.79,27.8,-43.1,0.00,-56.3,-102.7
Gross Profit Margin,41.4%,39.9%,40.3%,31.7%,27.6%,4.0%,9.8%,25.5%,,,-1.6%,6.8%,33.1%,26.2%,22.1%,18.7%,,12.4%,7.7%
Operating Margin,11.1%,11.8%,12.8%,4.8%,-0.2%,-39.5%,-36.0%,-25.2%,,,-40.2%,-40.4%,1.6%,-12.1%,-5.0%,-18.8%,,-23.9%,-37.2%
Net Profit Margin,3.7%,5.5%,8.4%,0.6%,1.2%,-56.6%,-130.5%,15.6%,,,-46.3%,-352.9%,-4.1%,-34.3%,-41.9%,-24.2%,,-36.4%,55.3%
Return on Assets,2.8%,4.3%,5.3%,0.2%,0.4%,-16.1%,-41.3%,5.5%,,,-19.8%,-46.6%,-47.0%,-47.6%,-47.3%,-10.6%,-10.7%,-9.1%,-0.9%
Return on Equity,9.5%,12.0%,7.6%,0.5%,0.9%,-59.3%,-20507.6%,91.2%,,,-9.7%,-278.8%,-202.8%,0.0%,0.0%,0.0%,,-85.0%,57.8%
Return on Total Capital,6.6%,9.1%,7.0%,0.5%,0.9%,-54.9%,-3749.4%,91.2%,,,-57.6%,-404.0%,-3563.0%,4229.8%,2039.7%,189.2%,-159.1%,-265.0%,-9.5%
SG&A to Sale,30.3%,29.0%,28.1%,27.4%,28.3%,43.5%,48.9%,61.8%,,,42.5%,51.4%,31.5%,44.1%,42.6%,43.5%,,45.4%,52.0%
Depreciation & Amortisation,207.4,244.0,250.4,245.9,224.8,213.4,292.9,139.5,,,80.8,76.2,,48.8,43.8,30.6,,14.8,14.9
Tax Rate,24.0%,24.2%,20.4%,52.3%,136.4%,-13.6%,-1.0%,11.4%,,,-1.6%,-0.2%,-70.7%,-6.0%,-76.7%,-0.7%,,1.4%,0.0%
Current Ratio,0.87,0.83,2.73,1.64,1.70,0.68,0.43,0.42,,,0.81,0.73,0.43,0.41,0.44,0.72,0.42,0.37,0.83
Quick Ratio,0.55,0.52,0.96,0.93,1.22,0.34,0.20,0.25,,,0.51,0.46,0.20,0.19,0.24,0.30,0.25,0.26,0.73
Days Inventory Outstanding,53.3,49.1,53.0,61.4,63.3,47.2,25.1,12.6,,,23.5,21.7,17.2,15.6,14.1,9.97,4.34,1.17,0.85
Days Sale Outstanding,134.7,120.0,115.0,130.6,175.4,113.1,109.9,115.6,,,225.5,211.0,93.7,96.4,111.0,119.5,99.7,164.8,489.9
Days Payable Outstanding,36.1,33.2,28.7,20.8,20.0,21.3,25.0,56.3,,,20.5,22.0,23.0,27.8,36.4,39.1,51.3,97.6,98.7
Cash Conversion Cycle,146.8,138.8,150.4,168.8,192.3,219.8,125.8,61.5,,,241.8,223.6,142.8,86.1,85.2,91.1,102.2,61.0,228.0
Debt to Asset Ratio,0.65,0.61,0.29,0.54,0.47,0.64,0.97,0.90,,,0.62,0.85,0.97,1.00,1.04,1.09,0.90,0.93,0.82
Debt to Equity Ratio,2.24,1.79,0.47,1.34,1.00,2.04,374.2,14.3,,,1.84,7.18,374.2,-34.6,-15.9,-10.4,14.3,26.4,6.76
Interest Coverage Ratio,2.58,3.26,5.39,1.04,,,,,,,,,0.34,,,,,,
Cash and Short Term Investments,181.8,179.0,"1,606","1,347","1,030",656.1,311.8,169.1,,,337.2,331.5,311.8,347.2,264.1,244.8,169.1,122.1,104.2
"Total Receivables, Net","1,031","1,007",947.1,"1,029","1,467",645.9,497.5,437.9,,,"1,168","1,058",497.5,471.6,501.5,524.9,437.9,456.5,"1,351"
Total Inventory,248.4,247.2,274.0,386.6,380.0,136.9,68.1,2.96,,,125.5,92.4,68.1,59.2,39.7,25.3,2.96,2.37,1.70
Total Current Assets,"1,613","1,621","3,073","3,045","3,155","1,702","1,077",736.2,,,"2,011","1,843","1,077","1,020",920.2,"1,276",736.2,654.9,"1,529"
"Property/Plant/Equipment, Total - Net","1,712","1,949","1,740","1,701","1,646","1,488","1,463",407.1,,,"1,389","1,339","1,463","1,426","1,395",576.5,407.1,395.3,151.2
Total Assets,"3,753","4,152","5,351","8,206","8,237","6,385","4,070","3,755",,,"6,450","4,655","4,070","3,918","3,802","3,271","3,755","3,639","2,483"
Accounts Payable,167.6,167.0,115.4,108.3,133.7,99.3,105.0,212.6,,,111.5,109.4,105.0,122.0,133.3,121.6,212.6,231.0,240.4
Accrued Expenses,326.7,317.8,369.0,420.6,432.4,414.1,336.3,253.9,,,212.7,154.1,336.3,327.7,315.7,302.6,253.9,249.2,247.8
Debt Due,"1,131","1,061",422.1,732.4,591.9,"1,220","1,574","1,131",,,"1,497","1,562","1,574","1,559","1,469","1,187","1,131","1,126",911.5
Total Current Liabilities,"1,861","1,954","1,127","1,853","1,855","2,486","2,501","1,763",,,"2,481","2,517","2,501","2,459","2,091","1,776","1,763","1,750","1,842"
Long Term Debt,493.6,445.5,268.1,18.2,1.27,158.8,47.0,,,,124.3,85.6,47.0,68.4,158.8,144.1,,,
Total Liabilities,"2,452","2,515","1,566","4,444","3,883","4,068","3,935","3,371",,,"3,989","3,979","3,935","3,922","3,956","3,569","3,371","3,368","2,044"
Common Stock,"1,648",873.3,"1,751","1,758","2,156","2,156","2,156","2,156",,,"2,156","2,156","2,156","2,156","2,156","2,156","2,156","2,156","2,156"
Additional Paid-In Capital,75.6,79.7,878.9,896.9,"1,265","1,266","1,267","1,250",,,"1,267","1,267","1,267","1,267","1,267","1,267","1,250","1,250","1,250"
Retained Earnings (Accumulated Deficit),-630.2,443.6,662.5,612.6,555.3,"-1,367","-3,524","-3,203",,,"-1,195","-2,812","-3,524","-3,648","-3,783","-3,838","-3,203","-3,304","-3,130"
Shareholders' Equity,"1,096","1,407","3,310","3,306","3,899","1,990",10.5,236.1,,,"2,168",554.2,10.5,-113.4,-248.3,-342.7,236.1,127.6,302.5
Cash from Operating Activities,477.3,473.0,494.3,565.3,-42.7,-164.7,-65.2,-131.3,,,-25.6,15.3,,67.7,-27.5,-11.5,,-12.3,-54.0
Cash from Investing Activities,-154.4,-237.1,21.1,"-1,288",-809.3,-431.8,-97.3,683.9,,,-115.9,-12.7,,-7.05,9.26,298.5,,-3.82,275.1
Cash from Financing Activities,-381.5,-242.0,773.4,-93.3,406.6,622.7,115.1,-570.1,,,137.4,-9.32,,-27.5,-44.1,-266.4,,-31.2,-240.9
Net Change in Cash,-58.6,-2.78,"1,289",-815.0,-445.3,26.2,-47.3,-17.5,,,-4.04,-6.73,,33.1,-62.4,20.5,,-47.4,-19.8
Free Cashflows,361.5,255.4,408.5,383.6,-209.4,-192.3,-73.6,-179.4,,,-26.9,11.7,,63.6,-44.8,-42.3,,-22.5,-55.7
Free Cashflow per Share,0.22,0.16,0.12,0.12,-0.051,-0.047,-0.018,-0.044,,,-0.007,0.003,,0.018,-0.011,-0.010,,-0.006,-0.014
