,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6
Total Assets,582.2,535.2,655.6,638.8,640.1,691.3,721.4,,620.1,,668.5,687.2,721.4,771.4,689.8,686.5,791.3,788.0,697.3
Accounts Payable,0.081,3.82,29.7,17.4,29.2,46.2,21.4,,19.5,,39.6,26.3,21.4,26.2,20.3,17.5,48.3,37.5,29.3
Accrued Expenses,20.9,15.5,27.6,25.2,23.8,27.8,35.7,,20.2,,27.1,32.5,35.7,30.7,31.1,34.4,31.3,24.9,27.2
Debt Due,0.00,36.2,53.8,51.1,49.4,34.0,13.5,,32.2,,41.0,21.6,13.5,26.9,90.0,56.2,87.4,76.9,110.7
Total Current Liabilities,48.7,63.6,131.0,108.7,118.3,131.3,93.7,,79.2,,137.8,95.7,93.7,114.2,162.1,119.8,187.8,164.4,180.5
Long Term Debt,,,,,,,,,,,,,,,,,,,
Total Liabilities,56.8,71.7,137.8,117.5,127.3,139.3,105.5,,101.7,,149.3,107.4,105.5,126.2,174.4,132.3,204.3,181.2,202.7
Common Stock,140.0,140.0,140.0,140.0,142.4,142.4,142.4,,142.4,,142.4,142.4,142.4,142.4,142.4,142.4,142.4,142.4,142.4
Additional Paid-In Capital,135.0,135.0,135.0,135.0,162.0,162.0,162.0,,162.0,,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0
Retained Earnings (Accumulated Deficit),250.4,186.4,237.4,236.9,208.0,245.6,306.9,,216.8,,212.4,270.9,306.9,336.5,210.3,248.2,286.7,304.0,190.7
Shareholders' Equity,525.4,463.5,517.8,521.3,512.8,552.0,615.9,,518.5,,519.2,579.8,615.9,645.1,515.3,554.1,587.0,606.8,494.6
Cash from Operating Activities,327.0,-21.5,95.0,42.8,126.6,161.3,237.7,24.4,116.2,,32.5,81.5,108.5,2.86,-11.3,26.7,6.86,23.8,-17.4
Cash from Investing Activities,110.1,-33.5,30.4,37.8,-8.63,-19.0,-95.2,140.6,73.2,,90.4,-34.6,-108.9,-25.7,125.4,5.74,-53.3,-8.56,134.2
Cash from Financing Activities,-284.5,-115.0,-68.0,-131.7,-110.9,-115.4,-152.1,-177.9,-167.9,,-117.2,-19.8,-8.58,13.1,-115.3,-31.2,31.1,-10.8,-108.9
Net Change in Cash,152.6,-170.0,57.4,-51.0,7.13,27.0,-9.63,-12.9,21.5,,5.81,27.0,-8.96,-9.73,-1.22,1.29,-15.4,4.39,7.85
Free Cashflows,318.8,-25.6,93.5,36.4,118.8,140.3,226.6,17.8,108.0,,31.6,81.2,99.5,0.66,-12.2,24.9,6.15,16.9,-18.0
Free Cashflow per Share,2.28,-0.18,0.67,0.26,0.83,0.99,1.59,,0.76,,0.22,0.57,0.70,0.005,-0.086,0.17,0.043,0.12,-0.13
