,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12
Total Liabilities,"1,315","1,763","1,231","1,124","1,135","1,160","1,202",,,,"1,184","1,202","1,202"
Common Stock,675.0,"1,350","1,679","2,730","2,771","2,771","2,771",,,,"2,771","2,771","2,771"
Additional Paid-In Capital,10.1,10.1,128.9,128.9,128.9,128.9,128.9,,,,128.9,128.9,128.9
Retained Earnings (Accumulated Deficit),-488.4,-818.7,"-1,342","-1,976","-2,152","-2,392","-2,537",,,,"-2,456","-2,537","-2,537"
Shareholders' Equity,41.8,117.5,39.6,32.3,-125.3,-365.7,-510.6,,,,-429.7,-510.6,-510.6
Cash from Operating Activities,-47.7,-365.8,-318.3,-173.4,-33.3,-16.4,28.1,,,,15.2,-1.10,-1.10
Cash from Investing Activities,-28.5,-73.3,-51.8,-13.1,-125.2,-22.6,-9.89,,,,-3.32,-1.63,-1.63
Cash from Financing Activities,71.5,426.1,368.2,440.7,-22.6,-6.09,-10.1,,,,-1.63,-3.43,-3.43
Net Change in Cash,-4.60,-13.0,-1.99,254.2,-181.2,-45.1,8.10,,,,10.2,-6.15,-6.15
Free Cashflows,-80.3,-442.2,-351.1,-213.1,-75.3,-31.8,13.6,,,,9.24,-2.43,-2.43
Free Cashflow per Share,-0.12,-0.33,-0.21,-0.078,-0.027,-0.011,0.005,,,,0.003,-0.001,-0.001
