,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Accrued Expenses,13.7,21.8,0.036,0.052,0.023,83.7,268.5,290.6,,,0.54,0.034,268.5,100.6,315.1,293.6,290.6,219.5,256.7,268.7
Debt Due,109.9,69.9,101.4,265.6,260.1,312.9,"2,865",445.3,,,392.5,"3,599","2,865","2,985","2,964","2,812",445.3,464.5,772.1,773.4
Total Current Liabilities,261.2,204.0,204.0,500.7,656.5,"1,317","4,456","2,052",,,"1,318","5,158","4,456","4,575","4,621","4,303","2,052","1,912","2,157","2,147"
Long Term Debt,61.3,86.8,61.6,67.8,"1,022","1,572","1,310","3,349",,,"1,446","1,417","1,310","1,260","1,162","1,096","3,349","3,318","2,973","2,930"
Total Liabilities,483.8,425.6,384.6,723.7,"1,945","3,152","6,318","6,034",,,"2,989","6,959","6,318","6,194","6,292","6,093","6,034","5,866","5,720","5,660"
Common Stock,376.5,376.5,376.5,376.5,424.6,559.7,839.5,839.5,,,559.7,559.7,839.5,839.5,839.5,839.5,839.5,839.5,839.5,839.5
Additional Paid-In Capital,,,,0.011,39.4,149.9,633.3,633.3,,,149.9,149.9,633.3,633.3,633.3,633.3,633.3,633.3,633.3,633.3
Retained Earnings (Accumulated Deficit),-152.2,158.9,160.1,233.5,346.1,477.3,635.5,864.5,,,514.9,531.2,635.5,592.1,652.3,662.4,864.5,866.4,738.6,736.8
Shareholders' Equity,528.4,839.5,850.2,923.6,"1,156","1,393","2,309","3,032",,,"1,444","1,490","2,309","2,176","2,791","2,856","3,032","3,044","2,530","2,496"
Cash from Operating Activities,-54.7,231.1,149.5,261.0,407.1,139.9,484.8,857.2,,,85.6,-4.56,394.6,84.0,325.3,75.9,372.0,-51.8,138.9,58.3
Cash from Investing Activities,11.5,-69.6,-43.4,-134.6,"-1,232",-713.5,"-3,149",-131.0,,,-14.3,"-3,103",-11.6,-65.3,-15.7,98.4,-148.4,16.9,-23.2,-16.2
Cash from Financing Activities,-1.85,-67.2,-29.9,-284.5,953.3,798.4,"2,761",-663.6,,,-149.8,"3,085",-139.0,-22.0,-196.8,-303.0,-141.9,-136.0,-95.1,-129.2
Net Change in Cash,-45.0,94.2,76.2,-158.1,165.4,172.8,97.7,59.7,,,-49.5,-3.58,226.9,-10.6,114.7,-125.9,81.5,-170.8,9.47,-85.0
Free Cashflows,-69.2,155.6,102.2,238.5,366.9,85.4,411.1,673.1,,,69.6,-15.9,370.0,51.5,287.0,62.3,272.3,-68.9,113.6,40.3
Free Cashflow per Share,-0.20,0.45,0.30,0.70,0.95,0.17,0.54,0.88,,,0.14,-0.031,0.48,0.067,0.38,0.082,0.36,-0.090,0.15,0.053
